Abrosz Tisztakosz
Agyalá Gyula
Akcíós Áron
Akenuba Fura Muki
Akosz Tittrossz
Albu Dimitrov Mitica
Ali Baszna de Bamba
Alka Ida
Alkohol Ida
Alle Glória
Álné Vendel
Aloe Vera
Am Erika
Ameri Katalin
Ant Rax
B. Elek
B. Ödön
Ba Szonja
Bac Ilus
Bak Tass
Bak Zoltán
Bármi Áron
Behány Leokádia
Beka Kálmán
Békés Csaba
Bekő Tóni
Bekre Pál
Bevíz Elek
Bi Ci(k)li
Bimbó Emil
Blend Ahmed
Bo Lívia
Bor Ivó
Bor Virág
Bornemissza Ivó
Boro Zoltán
Boviz Huba
Britni Szpírsz
Bud Izsák
Budipa Piroska
Bugyi Virág
Bukika Kukirs
Buz Imre
Ceruza Elemér
Chat Elek
Ci Cili
Cicam Ica
Cicz Imre
Citad Ella
Csák Ányos
